Authors,Title,Year,Source title,Cited by
"Meisel M., Hinterleitner R., Pacis A., Chen L., Earley Z.M., Mayassi T., Pierre J.F., Ernest J.D., Galipeau H.J., Thuille N., Bouziat R., Buscarlet M., Ringus D.L., Wang Y., Li Y., DInh V., Kim S.M., McDonald B.D., Zurenski M.A., Musch M.W., Furtado G.C., Lira S.A., Baier G., Chang E.B., Eren A.M., Weber C.R., Busque L., Godley L.A., Verdú E.F., Barreiro L.B., Jabri B.",Microbial signals drive pre-leukaemic myeloproliferation in a Tet2-deficient host,2018,Nature,16
"Tippett M.K., Lepore C., Cohen J.E.",More tornadoes in the most extreme U.S. tornado outbreaks,2016,Science,16
"Wachter S., Ramirez-Ruiz E., Dwarkadas V.V., Kouveliotou C., Granot J., Patel S.K., Figer D.",An infrared ring around the magnetar SGR 1900+14,2008,Nature,16
"Yan H., Yang F., Pan D., Lin Y., Hohman J.N., Solis-Ibarra D., Li F.H., Dahl J.E.P., Carlson R.M.K., Tkachenko B.A., Fokin A.A., Schreiner P.R., Galli G., Mao W.L., Shen Z.X., Melosh N.A.",Sterically controlled mechanochemistry under hydrostatic pressure,2018,Nature,16
"Bindeman I.N., Zakharov D.O., Palandri J., Greber N.D., Dauphas N., Retallack G.J., Hofmann A., Lackey J.S., Bekker A.",Rapid emergence of subaerial landmasses and onset of a modern hydrologic cycle 2.5 billion years ago,2018,Nature,17
Greeley J.P.,Active site of an industrial catalyst,2012,Science,17
"Meng Q.-J., Grossnickle D.M., Liu D., Zhang Y.-G., Neander A.I., Ji Q., Luo Z.-X.",New gliding mammaliaforms from the Jurassic,2017,Nature,17
"Scheeler M.W., Van Rees W.M., Kedia H., Kleckner D., Irvine W.T.M.",Complete measurement of helicity and its dynamics in vortex tubes,2017,Science,17
"Chong F.T., Franklin D., Martonosi M.",Programming languages and compiler design for realistic quantum hardware,2017,Nature,18
"Fan C., Fan M., Orlando B.J., Fastman N.M., Zhang J., Xu Y., Chambers M.G., Xu X., Perry K., Liao M., Feng L.",X-ray and cryo-EM structures of the mitochondrial calcium uniporter,2018,Nature,18
"Klomp J., Athy D., Kwan C.W., Bloch N.I., Sandmann T., Lemke S., Schmidt-Ott U.",A cysteine-clamp gene drives embryo polarity in the midge Chironomus,2015,Science,19
"Liang Q.-Y., Venkatramani A.V., Cantu S.H., Nicholson T.L., Gullans M.J., Gorshkov A.V., Thompson J.D., Chin C., Lukin M.D., Vuletić V.",Observation of three-photon bound States in a quantum nonlinear medium,2018,Science,19
"Luo Z.-X., Meng Q.-J., Grossnickle D.M., Liu D., Neander A.I., Zhang Y.-G., Ji Q.",New evidence for mammaliaform ear evolution and feeding adaptation in a Jurassic ecosystem,2017,Nature,20
"Zhang D., Tu S., Stubna M., Wu W.-S., Huang W.-C., Weng Z., Lee H.-C.",The piRNA targeting rules and the resistance to piRNA silencing in endogenous genes,2018,Science,20
"Frye M., Harada B.T., Behm M., He C.",RNA modifications modulate gene expression during development,2018,Science,21
"Heisler D.B., Kudryashova E., Grinevich D.O., Suarez C., Winkelman J.D., Birukov K.G., Kotha S.R., Parinandi N.L., Vavylonis D., Kovar D.R., Kudryashov D.S.",ACD toxin-produced actin oligomers poison formin-controlled actin polymerization,2015,Science,21
"Hoekstra H.E., Price T.",Parallel Evolution Is in the Genes,2004,Science,21
"Poccia N., Baturina T.I., Coneri F., Molenaar C.G., Wang X.R., Bianconi G., Brinkman A., Hilgenkamp H., Golubov A.A., Vinokur V.M.",Critical behavior at a dynamic vortex insulator-to-metal transition,2015,Science,21
"Rana M.S., Kumar P., Lee C.-J., Verardi R., Rajashankar K.R., Banerjee A.",Fatty acyl recognition and transfer by an integral membrane S-acyltransferase,2018,Science,21
"Laanait N., Callagon E.B.R., Zhang Z., Sturchio N.C., Lee S.S., Fenter P.",X-ray-driven reaction front dynamics at calcite-water interfaces,2015,Science,22
"Marrone D.P., Spilker J.S., Hayward C.C., Vieira J.D., Aravena M., Ashby M.L.N., Bayliss M.B., Béthermin M., Brodwin M., Bothwell M.S., Carlstrom J.E., Chapman S.C., Chen C.-C., Crawford T.M., Cunningham D.J.M., De Breuck C., Fassnacht C.D., Gonzalez A.H., Greve T.R., Hezaveh Y.D., Lacaille K., Litke K.C., Lower S., Ma J., Malkan M., Miller T.B., Morningstar W.R., Murphy E.J., Narayanan D., Phadke K.A., Rotermund K.M., Sreevani J., Stalder B., Stark A.A., Strandet M.L., Tang M., Weiß A.",Galaxy growth in a massive halo in the first billion years of cosmic history,2018,Nature,22
"Martin T., Marugán-Lobón J., Vullo R., Martín-Abad H., Luo Z.-X., Buscalioni A.D.",A Cretaceous eutriconodont and integument evolution in early mammals,2015,Nature,22
"Tschauner O., Huang S., Greenberg E., Prakapenka V.B., Ma C., Rossman G.R., Shen A.H., Zhang D., Newville M., Lanzirotti A., Tait K.",Ice-VII inclusions in diamonds: Evidence for aqueous fluid in Earth’s deep mantle,2018,Science,22
"Zhang Z., Schwanz D., Narayanan B., Kotiuga M., Dura J.A., Cherukara M., Zhou H., Freeland J.W., Li J., Sutarto R., He F., Wu C., Zhu J., Sun Y., Ramadoss K., Nonnenmann S.S., Yu N., Comin R., Rabe K.M., Sankaranarayanan S.K.R.S., Ramanathan S.",Perovskite nickelates as electric-field sensors in salt water,2018,Nature,22
Carroll S.M.,Is our Universe natural?,2006,Nature,23
"Fricke H.C., Hencecroth J., Hoerner M.E.",Lowland-upland migration of sauropod dinosaurs during the Late Jurassic epoch,2011,Nature,23
"Li L., Connors M.J., Kolle M., England G.T., Speiser D.I., Xiao X., Aizenberg J., Ortiz C.",Multifunctionality of chiton biomineralized armor with an integrated visual system,2015,Science,23
"Liu J., Hu Q., Young Kim D., Wu Z., Wang W., Xiao Y., Chow P., Meng Y., Prakapenka V.B., Mao H.-K., Mao W.L.",Hydrogen-bearing iron peroxide and the origin of ultralow-velocity zones,2017,Nature,23
"Plata G., Henry C.S., Vitkup D.",Long-term phenotypic evolution of bacteria,2015,Nature,24
Jablonski D.,Extinction: Past and present,2004,Nature,26
"Wu L., Willis J.J., McKay I.S., Diroll B.T., Qin J., Cargnello M., Tassone C.J.",High-temperature crystallization of nanocrystals into three-dimensional superlattices,2017,Nature,26
"Krauss L.M., Dodelson S., Meyer S.",Primordial gravitational waves and cosmology,2010,Science,27
"Starr T.N., Picton L.K., Thornton J.W.",Alternative evolutionary histories in the sequence space of an ancient protein,2017,Nature,27
"Wang D., Liu S., Warrell J., Won H., Shi X., Navarro F.C.P., Clarke D., Gu M., Emani P., Yang Y.T., Min X., Gandal M.J., Lou S., Zhang J., Park J.J., Yan C., KyongRhie S., Manakongtreecheep K., Zhou H., Aparna Natha A., Peters M., Mattei E., Fitzgerald D., Brunetti T., Moore J., Jiang Y., Girdhar K., Hoffman G.E., Kalayci S., Gümüş Z.H., Crawford G.E., Roussos P., Akbarian S., Jaffe A.E., White K.P., Weng Z., Sestan N., Geschwind D.H., Knowles J.A., Gerstein M.B.",Comprehensive functional genomic resource and integrative model for the human brain,2018,Science,27
"Yau A., Cha W., Kanan M.W., Stephenson G.B., Ulvestad A.",Materials science: Bragg coherent diffractive imaging of single-grain defect dynamics in polycrystalline films,2017,Science,27
