Authors,Title,Year,Source title,Page start,Page end,Cited by
"Débarre, F., Lenormand, T.",Distance-limited dispersal promotes coexistence at habitat boundaries: Reconsidering the competitive exclusion principle,2011,Ecology Letters,260,266,14
"Dos Santos, F.A.S., Johst, K., Grimm, V.",Neutral communities may lead to decreasing diversity-disturbance relationships: Insights from a generic simulation model,2011,Ecology Letters,653,660,14
"McNamara, J.M., Trimmer, P.C., Eriksson, A., Marshall, J.A.R., Houston, A.I.",Environmental variability can select for optimism or pessimism,2011,Ecology Letters,58,62,14
"Visser, M.D., Muller-Landau, H.C., Wright, S.J., Rutten, G., Jansen, P.A.",Tri-trophic interactions affect density dependence of seed fate in a tropical forest palm,2011,Ecology Letters,1093,1100,14
"Cao, K.-F., Yang, S.-J., Zhang, Y.-J., Brodribb, T.J.",The maximum height of grasses is determined by roots,2012,Ecology Letters,666,672,14
"Cooper, J.K., Li, J., Montagnes, D.J.S.",Intermediate fragmentation per se provides stable predator-prey metapopulation dynamics,2012,Ecology Letters,856,863,14
"Guttal, V., Romanczuk, P., Simpson, S.J., Sword, G.A., Couzin, I.D.",Cannibalism can drive the evolution of behavioural phase polyphenism in locusts,2012,Ecology Letters,1158,1166,14
"Remmel, E.J., Hambright, K.D.",Toxin-assisted micropredation: Experimental evidence shows that contact micropredation rather than exotoxicity is the role of Prymnesium toxins,2012,Ecology Letters,126,132,14
"Soler, C.C.L., Proffit, M., Bessière, J.-M., Hossaert-Mckey, M., Schatz, B.",Evidence for intersexual chemical mimicry in a dioecious plant,2012,Ecology Letters,978,985,14
"Creel, S., Becker, M.S., Durant, S.M., M'Soka, J., Matandiko, W., Dickman, A.J., Christianson, D., Dröge, E., Mweetwa, T., Pettorelli, N., Rosenblatt, E., Schuette, P., Woodroffe, R., Bashir, S., Beudels-Jamar, R.C., Blake, S., Borner, M., Breitenmoser, C., Broekhuis, F., Cozzi, G., Davenport, T.R.B., Deutsch, J., Dollar, L., Dolrenry, S., Douglas-Hamilton, I., Fitzherbert, E., Foley, C., Hazzah, L., Henschel, P., Hilborn, R., Hopcraft, J.G.C., Ikanda, D., Jacobson, A., Joubert, B., Joubert, D., Kelly, M.S., Lichtenfeld, L., Mace, G.M., Milanzi, J., Mitchell, N., Msuha, M., Muir, R., Nyahongo, J., Pimm, S., Purchase, G., Schenck, C., Sillero-Zubiri, C., Sinclair, A.R.E., Songorwa, A.N., Stanley-Price, M., Tehou, C.A., Trout, C., Wall, J., Wittemyer, G., Zimmermann, A.",Conserving large populations of lions - the argument for fences has holes,2013,Ecology Letters,,,14
"Rees, M.",Competition on productivity gradients-what do we expect?,2013,Ecology Letters,291,298,14
"Almaraz, P., Amat, J.A.",Complex structural effects of two hemispheric climatic oscillators on the regional spatio-temporal expansion of a threatened bird,2004,Ecology Letters,547,556,15
"Gurevitch, J.","Commentary on Simberloff (2006): Meltdowns, snowballs and positive feedbacks",2006,Ecology Letters,919,921,15
"Friedenberg, N.A., Powell, J.A., Ayres, M.P.",Synchrony's double edge: Transient dynamics and the Allee effect in stage structured populations,2007,Ecology Letters,564,573,15
"Hanski, I., Wirta, H., Nyman, T., Rahagalala, P.",Resource shifts in Malagasy dung beetles: Contrasting processes revealed by dissimilar spatial genetic patterns,2008,Ecology Letters,1208,1215,15
"Klaassen, M., Nolet, B.A.",Stoichiometry of endothermy: Shifting the quest from nitrogen to carbon,2008,Ecology Letters,785,792,15
"Losos, J.B.","Rejoinder to Wiens (2008): Phylogenetic niche conservatism, its occurrence and importance",2008,Ecology Letters,1005,1007,15
"Ernest, S.K.M., White, E.P., Brown, J.H.",Changes in a tropical forest support metabolic zero-sum dynamics,2009,Ecology Letters,507,515,15
"Sadeh, A., Mangel, M., Blaustein, L.",Context-dependent reproductive habitat selection: The interactive roles of structural complexity and cannibalistic conspecifics,2009,Ecology Letters,1158,1164,15
"Bagchi, R., Press, M.C., Scholes, J.D.",Evolutionary history and distance dependence control survival of dipterocarp seedlings,2010,Ecology Letters,51,59,15
"Dovčiak, M., Halpern, C.B.",Positive diversity-stability relationships in forest herb populations during four decades of community assembly,2010,Ecology Letters,1300,1309,15
"Korb, J., Foster, K.R.",Ecological competition favours cooperation in termite societies,2010,Ecology Letters,754,760,15
"Brusini, J., Robin, C., Franc, A.",Parasitism and maintenance of diversity in a fungal vegetative incompatibility system: The role of selection by deleterious cytoplasmic elements,2011,Ecology Letters,444,452,15
"Parker, K.A., Anderson, M.J., Jenkins, P.F., Brunton, D.H.",The effects of translocation-induced isolation and fragmentation on the cultural evolution of bird song,2012,Ecology Letters,778,785,15
"White, C., Costello, C., Kendall, B.E., Brown, C.J.",The value of coordinated management of interacting ecosystem services,2012,Ecology Letters,509,519,15
"Zychaluk, K., Bruno, J.F., Clancy, D., McClanahan, T.R., Spencer, M.",Data-driven models for regional coral-reef dynamics,2012,Ecology Letters,151,158,15
"Evans, D.M., Pocock, M.J.O., Memmott, J.",The robustness of a network of ecological networks to habitat loss,2013,Ecology Letters,844,852,15
"Lesser, M.R., Jackson, S.T.",Contributions of long-distance dispersal to population growth in colonising Pinus ponderosa populations,2013,Ecology Letters,380,389,15
